479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
479	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
480	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
481	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
482	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
483	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
484	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
485	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
486	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
487	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
488	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
489	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
490	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
491	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
492	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
493	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
494	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
495	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
496	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
497	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
498	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
499	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
500	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
501	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
502	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
503	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
504	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
505	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
506	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
507	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
508	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
509	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
510	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
511	1
512	1
512	1
512	1
512	1
512	1
512	1
512	1
512	1
512	1
512	1
512	1
512	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
513	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
514	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
515	1
516	1
516	1
516	1
516	1
516	1
516	1
516	1
516	1
516	1
516	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
517	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
518	1
519	1
519	1
519	1
519	1
519	1
519	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
520	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
521	1
522	1
522	1
522	1
522	1
522	1
522	1
522	1
522	1
522	1
522	1
522	1
522	1
523	1
523	1
523	1
523	1
523	1
523	1
523	1
524	1
524	1
524	1
524	1
524	1
524	1
524	1
524	1
524	1
524	1
525	1
525	1
525	1
525	1
525	1
525	1
525	1
525	1
525	1
525	1
525	1
526	1
526	1
526	1
526	1
526	1
527	1
527	1
527	1
527	1
527	1
527	1
527	1
528	1
528	1
528	1
528	1
528	1
528	1
529	1
529	1
529	1
529	1
529	1
529	1
529	1
530	1
530	1
530	1
530	1
530	1
530	1
531	1
531	1
531	1
531	1
531	1
531	1
531	1
532	1
532	1
532	1
532	1
532	1
533	1
533	1
533	1
533	1
534	1
534	1
534	1
534	1
534	1
535	1
535	1
535	1
535	1
535	1
535	1
535	1
535	1
536	1
536	1
536	1
536	1
536	1
536	1
536	1
536	1
536	1
536	1
537	1
537	1
537	1
537	1
537	1
537	1
537	1
537	1
537	1
538	1
538	1
538	1
538	1
539	1
539	1
539	1
539	1
539	1
540	1
540	1
540	1
540	1
540	1
541	1
542	1
542	1
542	1
542	1
542	1
543	1
543	1
543	1
544	1
545	1
545	1
545	1
545	1
546	1
547	1
547	1
547	1
548	1
548	1
548	1
549	1
549	1
549	1
549	1
549	1
550	1
550	1
550	1
551	1
551	1
551	1
551	1
551	1
551	1
552	1
552	1
552	1
553	1
553	1
554	1
554	1
555	1
555	1
556	1
557	1
557	1
557	1
557	1
558	1
558	1
558	1
558	1
558	1
559	1
559	1
560	1
561	1
561	1
561	1
562	1
563	1
563	1
564	1
564	1
565	1
565	1
565	1
567	1
568	1
569	1
569	1
570	1
570	1
571	1
571	1
571	1
571	1
572	1
574	1
575	1
575	1
576	1
577	1
579	1
579	1
580	1
580	1
581	1
582	1
583	1
584	1
584	1
585	1
586	1
586	1
586	1
586	1
586	1
586	1
588	1
589	1
591	1
593	1
594	1
595	1
596	1
596	1
596	1
597	1
598	1
598	1
599	1
599	1
600	1
600	1
601	1
602	1
602	1
602	1
603	1
603	1
604	1
604	1
604	1
605	1
606	1
607	1
607	1
607	1
607	1
609	1
609	1
609	1
609	1
609	1
610	1
610	1
610	1
612	1
614	1
617	1
618	1
618	1
618	1
619	1
619	1
620	1
620	1
620	1
621	1
621	1
622	1
622	1
622	1
623	1
623	1
624	1
625	1
625	1
625	1
626	1
627	1
627	1
627	1
628	1
628	1
628	1
628	1
628	1
629	1
629	1
629	1
630	1
630	1
630	1
630	1
630	1
630	1
630	1
630	1
631	1
631	1
631	1
631	1
631	1
632	1
632	1
633	1
633	1
634	1
634	1
634	1
634	1
634	1
635	1
635	1
636	1
636	1
636	1
637	1
637	1
638	1
639	1
639	1
640	1
641	1
642	1
642	1
642	1
643	1
643	1
643	1
644	1
644	1
644	1
644	1
644	1
644	1
645	1
645	1
645	1
646	1
646	1
647	1
648	1
648	1
648	1
648	1
649	1
650	1
650	1
650	1
650	1
651	1
651	1
651	1
651	1
652	1
652	1
652	1
653	1
653	1
653	1
653	1
653	1
653	1
654	1
654	1
654	1
654	1
654	1
654	1
654	1
655	1
655	1
656	1
656	1
657	1
657	1
657	1
657	1
657	1
657	1
658	1
658	1
659	1
659	1
660	1
661	1
661	1
661	1
661	1
661	1
662	1
662	1
662	1
663	1
663	1
663	1
663	1
663	1
663	1
663	1
663	1
663	1
664	1
664	1
664	1
664	1
665	1
665	1
665	1
666	1
667	1
667	1
667	1
668	1
668	1
668	1
668	1
669	1
669	1
670	1
670	1
670	1
670	1
671	1
672	1
672	1
672	1
673	1
673	1
673	1
673	1
674	1
674	1
674	1
674	1
675	1
675	1
675	1
675	1
676	1
676	1
676	1
678	1
678	1
678	1
678	1
678	1
678	1
678	1
678	1
679	1
679	1
679	1
679	1
680	1
680	1
680	1
680	1
681	1
681	1
681	1
681	1
682	1
682	1
682	1
684	1
684	1
684	1
684	1
685	1
685	1
685	1
685	1
685	1
685	1
686	1
686	1
686	1
686	1
687	1
687	1
687	1
687	1
687	1
688	1
688	1
688	1
688	1
688	1
688	1
689	1
689	1
689	1
690	1
690	1
691	1
691	1
691	1
692	1
692	1
693	1
693	1
693	1
694	1
695	1
695	1
696	1
696	1
696	1
696	1
696	1
696	1
697	1
697	1
699	1
699	1
699	1
700	1
700	1
700	1
700	1
700	1
701	1
701	1
701	1
702	1
702	1
702	1
703	1
703	1
703	1
703	1
704	1
704	1
704	1
704	1
705	1
705	1
705	1
706	1
706	1
706	1
706	1
706	1
707	1
707	1
707	1
707	1
708	1
708	1
708	1
708	1
709	1
709	1
709	1
710	1
710	1
710	1
710	1
711	1
711	1
711	1
711	1
712	1
712	1
712	1
713	1
713	1
713	1
713	1
714	1
714	1
714	1
715	1
715	1
716	1
716	1
716	1
717	1
717	1
717	1
717	1
717	1
718	1
718	1
718	1
719	1
719	1
720	1
720	1
720	1
721	1
721	1
721	1
722	1
722	1
723	1
723	1
723	1
724	1
724	1
726	1
726	1
726	1
727	1
727	1
727	1
728	1
728	1
728	1
728	1
728	1
728	1
729	1
729	1
730	1
730	1
730	1
731	1
731	1
732	1
732	1
732	1
734	1
734	1
734	1
734	1
734	1
734	1
736	1
736	1
736	1
736	1
736	1
736	1
737	1
737	1
737	1
737	1
738	1
738	1
738	1
738	1
739	1
739	1
740	1
740	1
740	1
740	1
740	1
741	1
741	1
741	1
741	1
742	1
742	1
743	1
743	1
743	1
743	1
744	1
744	1
745	1
746	1
746	1
747	1
747	1
749	1
749	1
749	1
750	1
750	1
750	1
750	1
750	1
751	1
751	1
752	1
752	1
752	1
752	1
753	1
753	1
753	1
754	1
754	1
754	1
755	1
756	1
756	1
756	1
756	1
757	1
758	1
758	1
758	1
758	1
758	1
759	1
759	1
759	1
759	1
759	1
759	1
759	1
759	1
760	1
761	1
761	1
762	1
762	1
762	1
762	1
762	1
763	1
764	1
764	1
764	1
765	1
765	1
765	1
766	1
766	1
766	1
766	1
766	1
766	1
767	1
767	1
767	1
767	1
767	1
768	1
768	1
768	1
768	1
768	1
768	1
768	1
769	1
769	1
769	1
769	1
769	1
770	1
770	1
771	1
771	1
771	1
773	1
773	1
773	1
773	1
773	1
774	1
774	1
774	1
774	1
775	1
775	1
775	1
776	1
776	1
776	1
776	1
777	1
777	1
778	1
778	1
779	1
779	1
779	1
779	1
779	1
779	1
779	1
779	1
779	1
780	1
780	1
780	1
780	1
781	1
781	1
781	1
781	1
781	1
782	1
783	1
783	1
783	1
783	1
783	1
783	1
784	1
784	1
784	1
785	1
785	1
785	1
785	1
785	1
785	1
786	1
786	1
786	1
787	1
787	1
787	1
788	1
788	1
788	1
788	1
789	1
789	1
789	1
789	1
789	1
789	1
790	1
790	1
790	1
790	1
790	1
791	1
791	1
792	1
792	1
792	1
792	1
792	1
792	1
792	1
792	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
793	1
794	1
794	1
794	1
794	1
794	1
795	1
795	1
795	1
795	1
795	1
795	1
796	1
796	1
796	1
796	1
796	1
796	1
797	1
797	1
797	1
797	1
797	1
797	1
798	1
798	1
798	1
798	1
798	1
798	1
798	1
798	1
799	1
799	1
800	1
800	1
801	1
801	1
801	1
801	1
801	1
801	1
801	1
801	1
801	1
801	1
802	1
802	1
802	1
802	1
802	1
802	1
802	1
802	1
803	1
803	1
803	1
803	1
804	1
804	1
804	1
804	1
804	1
804	1
804	1
804	1
804	1
804	1
805	1
805	1
805	1
805	1
805	1
805	1
805	1
805	1
805	1
805	1
805	1
806	1
806	1
806	1
806	1
806	1
807	1
807	1
807	1
807	1
807	1
807	1
807	1
807	1
807	1
807	1
807	1
808	1
808	1
808	1
808	1
808	1
808	1
809	1
809	1
809	1
809	1
809	1
809	1
809	1
809	1
810	1
810	1
810	1
810	1
810	1
810	1
810	1
810	1
810	1
811	1
811	1
811	1
811	1
812	1
812	1
812	1
812	1
812	1
812	1
812	1
812	1
813	1
813	1
813	1
813	1
813	1
813	1
814	1
814	1
814	1
814	1
814	1
814	1
814	1
814	1
815	1
815	1
815	1
815	1
815	1
815	1
815	1
815	1
815	1
815	1
816	1
816	1
816	1
816	1
816	1
816	1
816	1
816	1
816	1
816	1
817	1
817	1
817	1
817	1
817	1
817	1
817	1
818	1
818	1
818	1
818	1
818	1
818	1
818	1
819	1
819	1
819	1
819	1
819	1
819	1
819	1
819	1
820	1
820	1
820	1
820	1
820	1
820	1
820	1
820	1
820	1
820	1
821	1
821	1
821	1
821	1
821	1
821	1
821	1
821	1
821	1
821	1
821	1
822	1
822	1
822	1
822	1
822	1
822	1
822	1
822	1
822	1
823	1
823	1
823	1
823	1
823	1
823	1
824	1
824	1
824	1
824	1
824	1
825	1
825	1
825	1
825	1
825	1
825	1
825	1
825	1
825	1
826	1
826	1
826	1
826	1
826	1
826	1
826	1
827	1
827	1
827	1
827	1
827	1
827	1
827	1
827	1
827	1
827	1
828	1
828	1
828	1
828	1
828	1
828	1
828	1
828	1
829	1
829	1
829	1
829	1
829	1
829	1
829	1
829	1
829	1
830	1
830	1
830	1
830	1
830	1
830	1
831	1
831	1
831	1
831	1
831	1
831	1
832	1
832	1
832	1
832	1
832	1
832	1
832	1
832	1
832	1
832	1
833	1
833	1
833	1
833	1
833	1
833	1
834	1
834	1
834	1
834	1
834	1
834	1
834	1
834	1
834	1
834	1
834	1
835	1
835	1
835	1
835	1
835	1
835	1
835	1
836	1
836	1
836	1
836	1
836	1
836	1
836	1
836	1
837	1
837	1
837	1
837	1
837	1
837	1
837	1
837	1
837	1
837	1
837	1
837	1
838	1
838	1
838	1
838	1
838	1
838	1
839	1
839	1
839	1
839	1
839	1
839	1
839	1
839	1
839	1
840	1
840	1
840	1
840	1
840	1
840	1
840	1
840	1
840	1
840	1
841	1
841	1
841	1
841	1
841	1
841	1
841	1
841	1
841	1
842	1
842	1
842	1
842	1
842	1
842	1
842	1
843	1
843	1
843	1
843	1
843	1
843	1
843	1
843	1
843	1
843	1
843	1
844	1
844	1
844	1
844	1
844	1
844	1
844	1
845	1
845	1
845	1
845	1
846	1
846	1
846	1
846	1
846	1
846	1
846	1
846	1
846	1
847	1
847	1
847	1
847	1
847	1
847	1
847	1
847	1
847	1
847	1
847	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
848	1
849	1
849	1
849	1
849	1
849	1
849	1
849	1
849	1
849	1
849	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
850	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
851	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
852	1
853	1
853	1
853	1
853	1
853	1
853	1
853	1
853	1
853	1
853	1
854	1
854	1
854	1
854	1
854	1
854	1
854	1
854	1
855	1
855	1
855	1
855	1
855	1
855	1
855	1
855	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
856	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
857	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
858	1
859	1
859	1
859	1
859	1
859	1
860	1
860	1
860	1
860	1
860	1
860	1
860	1
860	1
860	1
860	1
860	1
860	1
861	1
861	1
861	1
861	1
862	1
862	1
862	1
862	1
862	1
862	1
863	1
863	1
863	1
863	1
863	1
863	1
863	1
864	1
864	1
864	1
864	1
864	1
864	1
864	1
864	1
864	1
865	1
865	1
865	1
865	1
865	1
866	1
866	1
866	1
866	1
866	1
866	1
866	1
866	1
866	1
866	1
866	1
867	1
867	1
867	1
867	1
867	1
867	1
867	1
867	1
867	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
868	1
869	1
869	1
869	1
869	1
869	1
869	1
869	1
869	1
869	1
869	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
870	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
871	1
872	1
872	1
872	1
872	1
872	1
872	1
872	1
872	1
872	1
872	1
873	1
873	1
873	1
873	1
873	1
873	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
874	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
875	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
876	1
877	1
877	1
877	1
877	1
877	1
877	1
877	1
877	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
878	1
879	1
879	1
879	1
879	1
879	1
879	1
879	1
879	1
880	1
880	1
880	1
880	1
880	1
881	1
881	1
881	1
881	1
881	1
881	1
881	1
881	1
881	1
882	1
882	1
882	1
882	1
882	1
882	1
882	1
882	1
882	1
882	1
882	1
882	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
883	1
884	1
884	1
884	1
884	1
884	1
884	1
884	1
884	1
884	1
884	1
885	1
885	1
885	1
885	1
885	1
885	1
885	1
885	1
886	1
886	1
886	1
886	1
886	1
886	1
886	1
886	1
886	1
887	1
887	1
887	1
887	1
887	1
887	1
887	1
887	1
887	1
887	1
887	1
887	1
888	1
888	1
888	1
888	1
888	1
888	1
888	1
888	1
888	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
889	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
890	1
891	1
891	1
891	1
891	1
891	1
891	1
891	1
891	1
891	1
891	1
891	1
892	1
892	1
